Event,Execution Timestamp,Dissemination Time,Cleared,Collateralization,End-User Exception,Bespoke,Block/Off facility,Execution Venue,UPI,Product,Contract Type,Effective Date,Maturity Date,Upfront Payment,Upfront Payment Currency,Upfront Payment Date,Settlement Currency,Leg 1 Type,Leg 1 Fixed Rate,Leg 1 Floating Index,Leg 1 Designated Maturity,Leg 1 Spread,Leg 1 Day Count Convention,Leg 1 Notional,Leg 1 Notional Currency,Leg 1 Payment Frequency,Leg1 Reset Frequency,Leg 2 Type,Leg 2 Fixed Rate,Leg 2 Floating Index,Leg 2 Designated Maturity,Leg 2 Spread,Leg 2 Day Count Convention,Leg 2 Notional,Leg 2 Notional Currency,Leg 2 Payment Frequency,Leg 2 Reset Frequency,Embedded Option,Option Strike Price,Option Type,Option Family,Option Currency,Option Premium,Option Lockout Period,Option Expiration Date,Asset Class,Rpt ID,Prev Rpt ID,Future Value Notional,Contract Subtype
,,,,,,,,,,,,,,,,,,FLOAT,3.434645,USD.MUNIPSA.3M.Bloomberg,,0.19776955,ACT/365,199718290.0,GBP,ZC,6D,FLOAT,-0.30425572,HUF-BUBOR-Reuters,,-0.98641837,BUS/252,548099460.0,CZK,6M,6,,,,,,,,,,,,-0.36465892,
,,,,,,,,,,,,,,,,,,FLOAT,1.3106683,USD.USD-Federal Funds-H.15-OIS-COMPOUND..,,0.027696304,ACT/365.FIXED,32165720.0,CZK,ZC,6,Float,-0.33694795,GBP.UK-RPI.20Y.UK-RPI,,-0.019774033,ACT/365.FIXED,449532320.0,ILS,QTR,3M,,,,,,,,,,,,-0.69532424,
,,,,,,,,,,,,,,,,,,Fixed,3.3444273,USD.AAA_MUNI.20Y.Reuters,,-0.8905313,ACT/360,373876300.0,USD,QTR,6M,Float,-0.79635483,USD.USD-LIBOR-BBA.6M.USD-LIBOR-BBA,,0.49454448,ACT/365.FIXED,356135940.0,CLP,6M,nan,,,,,,,,,,,,-0.09633916,
,,,,,,,,,,,,,,,,,,Float,2.1890779,USD.USD-LIBOR-BBA.3.,,0.94005287,BUS/252,648931500.0,COP,QTR,QTR,Float,0.8224901,USD.Federal Funds.1T.H.15-OIS-COMPOUND,,-0.20098585,ACT/365.FIXED,-345743000.0,ILS,MTH,MTH,,,,,,,,,,,,-0.9290303,
,,,,,,,,,,,,,,,,,,Float,3.1400988,MXN.TIIE.28D.Banxico,,-0.94625074,ACT/360,-376818180.0,COP,ZC,MTH,Float,-0.038081765,USD.USA-CPI-U.30Y.USA-CPI-U,,0.9854363,ACT/365.FIXED,330911740.0,CLP,6WK,nan,,,,,,,,,,,,-0.65762717,
,,,,,,,,,,,,,,,,,,Float,3.2272518,USD.AAA_MUNI.3M.Reuters,,0.84614706,365/360,439571550.0,SEK,6D,6,FLOAT,0.91109586,EUR.EUR-EXT-CPI.4Y.EUR-EXT-CPI,,0.8366056,BUS/252,457018800.0,DKK,6M,MTH,,,,,,,,,,,,-0.41040173,
,,,,,,,,,,,,,,,,,,FLOAT,-0.24121635,USD.USD-LIBOR-BBA.3.,,-0.40930927,BUS/252,-353062530.0,USD,SA,nan,FLOAT,-0.32293355,USD-SOFR-COMPOUND,,0.98036087,ACT/360,618933400.0,SEK,6Y,6,,,,,,,,,,,,-0.5768107,
,,,,,,,,,,,,,,,,,,Fixed,0.09242399,USD.AAA_MUNI.6M.Reuters,,0.9561932,BUS/252,341856200.0,NOK,SA,QTR,FLOAT,-0.14284115,GBP.UK-RPI.10Y.UK-RPI,,0.888765,ACT/360,186840130.0,HKD,MTH,nan,,,,,,,,,,,,0.3141561,
,,,,,,,,,,,,,,,,,,Fixed,0.15412755,CAD.CORRA.1T.OIS-COMPOUND,,-0.68676984,BUS/252,637019200.0,USD,SA,nan,Float,0.742414,EUR.EUR-EURIBOR-Reuters.3M.EUR-EURIBOR-Reuters,,0.6999475,ACT/365,576010100.0,THB,6WK,3M,,,,,,,,,,,,0.20162825,
,,,,,,,,,,,,,,,,,,Float,0.6222707,USD.LIBOR.3M.BBA,,-0.8367739,ACT/365,650286850.0,THB,ZC,nan,FLOAT,-0.4342468,AUD.BBR.3M.BBSW,,0.043131478,30/360,636292800.0,ILS,ZC,6,,,,,,,,,,,,-0.54053694,
,,,,,,,,,,,,,,,,,,FLOAT,0.7770562,USD.USD-Federal Funds-H.15-OIS-COMPOUND..,,-0.3359472,BUS/252,-296862200.0,THB,3M,6D,FLOAT,0.035860028,NOK.NOK-NIBOR-OIBOR.6M.NOK-NIBOR-OIBOR,,-0.64207983,BUS/252,49271370.0,CNY,6M,QTR,,,,,,,,,,,,-0.96315897,
,,,,,,,,,,,,,,,,,,Fixed,-0.34801117,USD.AAA_MUNI.20Y.Reuters,,0.96726125,30/360,-179518750.0,CLP,QTR,MTH,FLOAT,0.6561704,USD.1 month Libor..,,-0.8407293,ACT/365.FIXED,-328406820.0,MXN,6M,QTR,,,,,,,,,,,,-0.59379536,
,,,,,,,,,,,,,,,,,,Float,-0.23629646,CAD.CORRA.1T.OIS-COMPOUND,,-0.06374207,ACT/365,38388130.0,MXN,SA,6D,Float,-0.12262453,USA-CPI-U,,-0.6256657,BUS/252,631163460.0,SEK,6WK,6,,,,,,,,,,,,-0.7884265,
,,,,,,,,,,,,,,,,,,Float,-0.38591352,USD.USD-LIBOR-BBA.3.,,-0.8985567,ACT/365,492291780.0,HUF,MTH,nan,Float,-0.42523286,COP.COP-IBR-OIS-COMPOUND.3M.COP-IBR-OIS-COMPOUND,,-0.6120539,ACT/365.FIXED,616707200.0,HKD,6M,nan,,,,,,,,,,,,-0.11623233,
,,,,,,,,,,,,,,,,,,Fixed,0.46304294,nan,,0.37975478,BUS/252,-323889500.0,SGD,6M,6M,Float,0.026139254,SGD-SOR-VWAP,,-0.22636053,ACT/360,-347875040.0,CHF,6WK,3M,,,,,,,,,,,,-0.95666915,
,,,,,,,,,,,,,,,,,,FLOAT,2.1590612,EUR.EURIBOR.6M.Reuters,,0.74552625,ACT/365,654346200.0,TWD,6Y,6M,FLOAT,0.82621187,USD.USD-Federal Funds-H.15-OIS-COMPOUND..,,0.44243187,BUS/252,-199320260.0,CNY,MTH,6M,,,,,,,,,,,,-0.23518269,
,,,,,,,,,,,,,,,,,,FLOAT,-0.4161431,USD.AAA_MUNI.6M.Reuters,,0.48254496,ACT/365.FIXED,111950170.0,JPY,MTH,6M,Float,-0.9659448,HUF.BUBOR.6M.Reuters,,0.67875,ACT/365.FIXED,-279410000.0,ILS,6M,nan,,,,,,,,,,,,-0.47511223,
,,,,,,,,,,,,,,,,,,FLOAT,-0.04348533,EUR.EUR-EURIBOR-Reuters.6.,,0.9483546,BUS/252,-183911040.0,ZAR,6D,3M,Fixed,0.8204745,EUR.EUR-EONIA-OIS-COMPOUND..EUR-EONIA-OIS-COMPOUND,,0.5783064,BUS/252,-358616220.0,JPY,6WK,6,,,,,,,,,,,,-0.44204226,
,,,,,,,,,,,,,,,,,,FLOAT,0.36847565,USD.LIBOR.3M.BBA,,-0.37553632,ACT/365.FIXED,-283437760.0,CLP,QTR,3M,FLOAT,0.9341622,PLN.WIBOR.6M.WIBO,,0.7277611,ACT/360,486966400.0,TWD,6Y,QTR,,,,,,,,,,,,-0.50520676,
,,,,,,,,,,,,,,,,,,Fixed,-0.32103148,USD-LIBOR,,-0.43185648,365/360,287969120.0,NOK,ZC,6M,FLOAT,0.555309,EUR.EUR-EXT-CPI.11Y.EUR-EXT-CPI,,0.15840887,ACT/360,102064664.0,NOK,6WK,MTH,,,,,,,,,,,,-0.9811382,
,,,,,,,,,,,,,,,,,,FLOAT,-0.407766,USD.LIBOR.3M.BBA,,-0.20970182,30/360,635719040.0,THB,ZC,6,FLOAT,0.28781462,EUR.EUR-EXT-CPI.7Y.EUR-EXT-CPI,,-0.9582526,30/360,641697000.0,CHF,6M,6,,,,,,,,,,,,-0.34398416,
,,,,,,,,,,,,,,,,,,Fixed,3.5700486,USD.USD-SOFR-COMPOUND..,,0.8859561,BUS/252,535062180.0,JPY,3M,3M,Float,0.87593937,JPY.LIBOR.6M.BBA,,-0.84754103,ACT/365.FIXED,296680400.0,JPY,QTR,6M,,,,,,,,,,,,0.4511728,
,,,,,,,,,,,,,,,,,,FLOAT,1.8389176,USD.USD-Federal Funds-H.15-OIS-COMPOUND..,,0.57412493,ACT/360,624185200.0,THB,MTH,6D,FLOAT,0.21167395,USD-LIBOR,,0.6014539,ACT/360,594603100.0,SEK,ZC,QTR,,,,,,,,,,,,-0.48884702,
,,,,,,,,,,,,,,,,,,Float,2.9856138,USD.AAA_MUNI.3M.Reuters,,0.16199936,365/360,-323527330.0,HKD,3M,3M,Float,-0.98899746,HKD.HIBOR.3M.HKAB,,0.099698424,BUS/252,-104124130.0,SGD,6WK,nan,,,,,,,,,,,,-0.48272115,
,,,,,,,,,,,,,,,,,,Float,2.6920114,USD.AAA_MUNI.6M.Reuters,,0.59324837,BUS/252,576512260.0,CAD,6Y,nan,Float,0.7347112,CNY-Fixing Repo Rate,,-0.19850288,ACT/365.FIXED,-218535260.0,ILS,3M,3M,,,,,,,,,,,,-0.8695706,
,,,,,,,,,,,,,,,,,,Float,0.6982573,EUR.EUR-EURIBOR-Reuters.6.,,-0.0023486852,ACT/360,630008450.0,GBP,ZC,nan,FLOAT,-0.9757759,CZK.PRIBOR.3M.PRBO,,-0.99234205,ACT/360,279839260.0,CNY,6Y,6MTH,,,,,,,,,,,,-0.37330776,
,,,,,,,,,,,,,,,,,,Float,0.54469293,USD.LIBOR.1M.BBA,,0.9415948,ACT/365.FIXED,303019000.0,CNY,6D,QTR,Float,-0.917582,NZD.NZD-NZIONA-OIS-COMPOUND..NZD-NZIONA-OIS-COMPOUND,,0.90349495,30/360,-226898400.0,SGD,QTR,nan,,,,,,,,,,,,-0.5172147,
,,,,,,,,,,,,,,,,,,FLOAT,1.1488103,USD-LIBOR,,0.9506399,ACT/365,437940640.0,CZK,ZC,QTR,FLOAT,0.50303423,USD.USA-CPI-U.30Y.USA-CPI-U,,0.7034507,BUS/252,-349430500.0,HKD,6WK,QTR,,,,,,,,,,,,-0.5927427,
,,,,,,,,,,,,,,,,,,Float,-0.34253374,USD.AAA_MUNI.6M.Reuters,,0.4244384,ACT/365.FIXED,646784200.0,THB,ZC,6M,Float,0.5602368,USD-LIBOR-BBA,,-0.3012223,30/360,609184400.0,CHF,6WK,nan,,,,,,,,,,,,-0.9428351,
,,,,,,,,,,,,,,,,,,Fixed,1.6261467,USD.AAA_MUNI.6M.Reuters,,-0.60563475,ACT/365,588259840.0,CLP,6M,MTH,FLOAT,-0.9841753,GBP.GBP-WMBA-SONIA-COMPOUND.1T.GBP-WMBA-SONIA-COMPOUND,,-0.29300302,BUS/252,-365773820.0,MXN,QTR,6MTH,,,,,,,,,,,,0.22332218,
,,,,,,,,,,,,,,,,,,FLOAT,3.5205696,USD.LIBOR.1M.BBA,,-0.47274688,ACT/360,656976900.0,SEK,6Y,MTH,FLOAT,0.99073476,AUD-AONIA-OIS Compound,,0.98669624,30/360,-280892220.0,GBP,3M,6M,,,,,,,,,,,,0.93026054,
,,,,,,,,,,,,,,,,,,Fixed,3.3014402,USD.AAA_MUNI.20Y.Reuters,,0.9836483,BUS/252,289982370.0,SGD,QTR,6,FLOAT,0.5903569,CAD-CORRA-OIS-COMPOUND,,0.7967287,BUS/252,-232298180.0,CLP,6WK,nan,,,,,,,,,,,,-0.9355998,
,,,,,,,,,,,,,,,,,,Float,3.5558732,USD-LIBOR-BBA,,-0.86373526,ACT/365.FIXED,121967530.0,KRW,6Y,nan,Float,0.98797435,CZK-PRIBOR,,0.016457783,ACT/365.FIXED,331385660.0,COP,6M,3M,,,,,,,,,,,,0.30418906,
,,,,,,,,,,,,,,,,,,FLOAT,3.568618,USD.USD-Federal Funds-H.15-OIS-COMPOUND..,,0.7720496,30/360,-249206340.0,USD,6D,nan,FLOAT,-0.45048794,SEK.STIBOR.3M.SIDE,,0.68089885,30/360,523175260.0,SGD,ZC,6,,,,,,,,,,,,0.26758188,
,,,,,,,,,,,,,,,,,,FLOAT,0.16700907,USD.AAA_MUNI.3M.Reuters,,0.79392755,ACT/365.FIXED,466263800.0,GBP,ZC,6M,FLOAT,-0.9379833,AUD.BBR.3M.BBSW,,0.8026982,30/360,103256590.0,HKD,6M,6,,,,,,,,,,,,-0.8418455,
,,,,,,,,,,,,,,,,,,Float,0.56752545,USD.LIBOR.1M.BBA,,0.85839957,ACT/365.FIXED,422296900.0,COP,3M,6,Fixed,-0.8449483,AUD.BBR.3M.BBSW,,0.9389288,30/360,-374245950.0,HKD,6Y,6,,,,,,,,,,,,-0.9955758,
,,,,,,,,,,,,,,,,,,Float,3.5009608,USD.LIBOR.3M.BBA,,0.9105791,BUS/252,-266801800.0,HUF,3M,6D,Fixed,0.859759,USD.Libor.3M.Reuters,,-0.9883339,BUS/252,-284053700.0,USD,3M,nan,,,,,,,,,,,,-0.6958204,
,,,,,,,,,,,,,,,,,,Float,1.9487857,USD.AAA_MUNI.20Y.Reuters,,-0.16182956,ACT/365.FIXED,-283673570.0,GBP,ZC,nan,Fixed,0.05856245,SGD-SOR,,-0.96013993,30/360,261217520.0,USD,6WK,3M,,,,,,,,,,,,0.7500334,
,,,,,,,,,,,,,,,,,,FLOAT,-0.16181223,USD.AAA_MUNI.6M.Reuters,,0.1549046,ACT/360,649837300.0,THB,MTH,6,FLOAT,0.49946612,CNY-Fixing Repo Rate,,-0.6069007,ACT/360,-139466240.0,NOK,ZC,6MTH,,,,,,,,,,,,-0.7308681,
,,,,,,,,,,,,,,,,,,FLOAT,3.4918563,USD.USD-LIBOR-BBA.3.,,-0.90106165,ACT/365.FIXED,586329800.0,HKD,6D,QTR,Float,0.9489395,AUD.AUD-BBR-BBSW.3M.AUD-BBR-BBSW,,-0.15298426,ACT/365,-98048060.0,USD,MTH,3M,,,,,,,,,,,,0.9492303,
,,,,,,,,,,,,,,,,,,FLOAT,-0.06792061,USD.LIBOR.1M.BBA,,-0.7953344,365/360,135082320.0,SEK,QTR,6D,Float,-0.97104764,DKK.DKK-CIBOR2-DKNA13.6M.DKK-CIBOR2-DKNA13,,0.89810747,ACT/365.FIXED,280441400.0,HUF,6M,nan,,,,,,,,,,,,-0.69528913,
,,,,,,,,,,,,,,,,,,Float,0.48323163,nan,,0.96187675,ACT/365.FIXED,645269060.0,CNY,6Y,6D,Float,0.84471714,AUD.AUD-AONIA-OIS-COMPOUND.1T.AUD-AONIA-OIS-COMPOUND,,-0.8463055,ACT/365.FIXED,111334080.0,CHF,6WK,3M,,,,,,,,,,,,-0.23820916,
,,,,,,,,,,,,,,,,,,FLOAT,2.4580197,USD.AAA_MUNI.6M.Reuters,,0.9475219,30/360,610499840.0,THB,SA,nan,FLOAT,0.90070105,AUD.AUD-AONIA-OIS-COMPOUND.1Y.AUD-AONIA-OIS-COMPOUND,,0.8561606,ACT/365,447250600.0,CLP,6WK,6,,,,,,,,,,,,-0.4867886,
,,,,,,,,,,,,,,,,,,Float,3.56658,CAD.CORRA.1T.OIS-COMPOUND,,0.96399754,ACT/365,254764600.0,PLN,3M,MTH,FLOAT,0.81136817,USD-Federal Funds-H.15,,0.6374703,BUS/252,-344688480.0,GBP,QTR,6M,,,,,,,,,,,,0.9528006,
,,,,,,,,,,,,,,,,,,Fixed,2.0185807,USD.LIBOR.1M.BBA,,0.7929925,BUS/252,14644232.0,GBP,SA,6M,Float,-0.94933015,EUR-EONIA-OIS-COMPOUND,,-0.99824005,ACT/365,-239325950.0,CHF,6Y,3M,,,,,,,,,,,,-0.91834295,
,,,,,,,,,,,,,,,,,,FLOAT,1.3335259,USD.MUNIPSA.3M.Bloomberg,,0.9819762,365/360,-134831650.0,ILS,QTR,6D,Fixed,-0.560812,USD.USD-LIBOR-BBA.3M.USD-LIBOR-BBA,,0.36627448,30/360,-231056000.0,JPY,6Y,6,,,,,,,,,,,,-0.49445108,
,,,,,,,,,,,,,,,,,,FLOAT,2.9892852,USD.USD-Federal Funds-H.15-OIS-COMPOUND..,,-0.56769764,ACT/365,-373964740.0,COP,ZC,MTH,FLOAT,0.84884936,NOK.NIBOR.6M.NIBR,,0.17675306,BUS/252,578758500.0,ILS,3M,6,,,,,,,,,,,,0.23062198,
,,,,,,,,,,,,,,,,,,Float,1.2553722,USD.USD-LIBOR-BBA.3.,,0.34552512,30/360,618220540.0,THB,ZC,6D,FLOAT,0.56574863,USD-LIBOR-BBA,,-0.093460076,ACT/360,388835140.0,USD,ZC,QTR,,,,,,,,,,,,-0.535124,
,,,,,,,,,,,,,,,,,,FLOAT,1.3032478,USD.LIBOR.1M.BBA,,-0.81297547,ACT/365,-111548620.0,PLN,QTR,6M,FLOAT,0.6936026,HUF-BUBOR,,0.7266165,ACT/365.FIXED,-111323890.0,TWD,6M,6,,,,,,,,,,,,0.03645338,
,,,,,,,,,,,,,,,,,,Float,2.6383874,USD.LIBOR.1M.BBA,,-0.29640695,ACT/365,592877440.0,THB,QTR,nan,Fixed,-0.77124393,GBP.UK-RPI.50Y.UK-RPI,,0.5066086,30/360,222068130.0,PLN,6M,MTH,,,,,,,,,,,,-0.23984247,
,,,,,,,,,,,,,,,,,,FLOAT,-0.22833793,USD-LIBOR,,0.5398939,30/360,-1509216.0,TWD,6M,6,Fixed,-0.77739877,EUR.EUR-EXT-CPI.10Y.EUR-EXT-CPI,,-0.8852853,BUS/252,137209180.0,DKK,QTR,QTR,,,,,,,,,,,,-0.94266385,
,,,,,,,,,,,,,,,,,,Fixed,-0.3653778,USD.USD-LIBOR-BBA.3.,,0.87673444,BUS/252,-279396130.0,BRL,SA,3M,Float,0.5797112,GBP-LIBOR-BBA,,-0.5260867,30/360,600198400.0,CNY,6Y,MTH,,,,,,,,,,,,-0.11250617,
,,,,,,,,,,,,,,,,,,Float,3.528009,CAD.CORRA.1T.OIS-COMPOUND,,0.4443125,BUS/252,-372659400.0,CNY,MTH,QTR,FLOAT,-0.58416486,JPY-TONA-OIS Compound,,0.5387739,BUS/252,72830570.0,PLN,6WK,nan,,,,,,,,,,,,-0.81599844,
,,,,,,,,,,,,,,,,,,Fixed,2.6984198,USD.USD-SOFR-COMPOUND..,,-0.8625322,ACT/360,627141760.0,ZAR,ZC,MTH,Float,0.9620375,SGD-SORA-OIS Compound,,-0.58268505,ACT/365,628559900.0,PLN,QTR,QTR,,,,,,,,,,,,-0.59421724,
,,,,,,,,,,,,,,,,,,Fixed,0.12797041,USD.AAA_MUNI.6M.Reuters,,0.95324993,ACT/365.FIXED,556922900.0,HKD,6D,6,Float,-0.6950189,PLN.PLN-WIBOR-WIBO.3M.PLN-WIBOR-WIBO,,0.9388774,BUS/252,554616300.0,HKD,3M,MTH,,,,,,,,,,,,-0.99752957,
,,,,,,,,,,,,,,,,,,Float,1.3548735,USD-LIBOR,,-0.7044777,ACT/365,101284616.0,HUF,3M,nan,FLOAT,-0.54051197,EUR.EUR-EXT-CPI.11Y.EUR-EXT-CPI,,0.45528522,ACT/360,-154255800.0,PLN,6WK,3M,,,,,,,,,,,,0.8637233,
,,,,,,,,,,,,,,,,,,Float,0.7573975,USD-LIBOR,,0.15409377,ACT/365,-307470600.0,SGD,MTH,6D,Fixed,-0.9841848,EUR.EUR-EXT-CPI.5Y.EUR-EXT-CPI,,0.29007056,BUS/252,42024840.0,CAD,ZC,6M,,,,,,,,,,,,-0.39384028,
,,,,,,,,,,,,,,,,,,Float,0.27852377,USD.LIBOR.1M.BBA,,-0.0710013,ACT/360,387133060.0,THB,MTH,3M,Float,0.97252625,GBP.UK-RPI.40Y.UK-RPI,,-0.78837353,ACT/365,51542590.0,NOK,SA,3M,,,,,,,,,,,,-0.91033,
,,,,,,,,,,,,,,,,,,Fixed,3.5235245,USD.USD-Federal Funds-H.15-OIS-COMPOUND..,,0.53644526,30/360,258918300.0,COP,QTR,6D,Float,0.25566605,DKK.CIBOR2.3M.DKNA13,,0.73848826,ACT/365.FIXED,-234565020.0,DKK,6Y,MTH,,,,,,,,,,,,-0.92372423,
,,,,,,,,,,,,,,,,,,FLOAT,3.3662527,USD.AAA_MUNI.6M.Reuters,,0.6005884,ACT/365,429263040.0,GBP,ZC,6D,FLOAT,-0.1743796,AUD.AUD-AONIA-OIS-COMPOUND.1T.AUD-AONIA-OIS-COMPOUND,,0.7616247,BUS/252,-210636800.0,CAD,6Y,QTR,,,,,,,,,,,,0.40141118,
,,,,,,,,,,,,,,,,,,FLOAT,3.1271632,USD.LIBOR.1M.BBA,,-0.6401354,BUS/252,473121150.0,HKD,6D,MTH,Float,-0.8800561,NZD.NZD-BBR-FRA.3M.NZD-BBR-FRA,,0.89640975,30/360,-255526910.0,CNY,MTH,nan,,,,,,,,,,,,-0.8678196,
,,,,,,,,,,,,,,,,,,Fixed,-0.41353515,USD-LIBOR,,-0.28732917,ACT/365,-255793150.0,MXN,QTR,6D,Float,-0.99799275,USD-LIBOR-BBA,,0.5959537,30/360,-84860110.0,CAD,6WK,MTH,,,,,,,,,,,,-0.71969765,
,,,,,,,,,,,,,,,,,,Fixed,1.6723317,CAD.CORRA.1T.OIS-COMPOUND,,-0.73340255,30/360,343589250.0,KRW,6D,QTR,Float,-0.09631404,CAD.CAD-BA-CDOR.3M.CAD-BA-CDOR,,0.7236015,ACT/365,120159400.0,THB,QTR,3M,,,,,,,,,,,,-0.08674548,
,,,,,,,,,,,,,,,,,,Float,3.532917,USD.AAA_MUNI.20Y.Reuters,,0.28836036,365/360,439715680.0,COP,6Y,MTH,Float,0.8809706,TWD-TAIBOR-Reuters,,-0.9580655,ACT/365,634354100.0,USD,6Y,QTR,,,,,,,,,,,,-0.35683176,
,,,,,,,,,,,,,,,,,,FLOAT,2.6941564,EUR.EUR-EURIBOR-Reuters.6.,,-0.42476285,ACT/365,501599300.0,CAD,6D,MTH,FLOAT,-0.79335463,DKK.DKK-CIBOR2-DKNA13.6M.DKK-CIBOR2-DKNA13,,0.21179806,ACT/360,497630530.0,NOK,SA,QTR,,,,,,,,,,,,0.6907751,
,,,,,,,,,,,,,,,,,,FLOAT,3.288175,USD.USD-LIBOR-BBA.3.,,0.98361605,30/360,338148930.0,SEK,QTR,6M,FLOAT,-0.49564102,USD-LIBOR-BBA,,-0.9387478,30/360,-343538560.0,PLN,6Y,MTH,,,,,,,,,,,,0.7947815,
,,,,,,,,,,,,,,,,,,FLOAT,0.214557,USD.LIBOR.3M.BBA,,0.23186235,BUS/252,-286047170.0,THB,6M,6D,Float,-0.86288387,SEK.STIBOR.3M.SIDE,,-0.33684614,BUS/252,120062070.0,DKK,ZC,6,,,,,,,,,,,,-0.7024634,
,,,,,,,,,,,,,,,,,,Fixed,1.2707182,USD.AAA_MUNI.20Y.Reuters,,0.79009837,ACT/365.FIXED,648291460.0,CHF,6D,6M,Float,0.50469637,CNY-CNREPOFIX=CFXS-Reuters,,-0.71419734,BUS/252,650779900.0,HUF,6Y,nan,,,,,,,,,,,,0.36074427,
,,,,,,,,,,,,,,,,,,Fixed,2.600733,EUR.EURIBOR.6M.Reuters,,-0.4009024,ACT/365,623413500.0,BRL,QTR,MTH,Float,0.79788125,ILS.ILS-TELBOR01-Reuters.3M.ILS-TELBOR01-Reuters,,0.93081385,BUS/252,-339222900.0,GBP,6Y,MTH,,,,,,,,,,,,-0.9956973,
,,,,,,,,,,,,,,,,,,Float,3.548473,USD.AAA_MUNI.3M.Reuters,,0.78666806,ACT/365.FIXED,-91835650.0,BRL,MTH,QTR,Float,-0.5304555,UK-RPI,,0.72695905,ACT/365,-375939330.0,CLP,QTR,6,,,,,,,,,,,,-0.98460597,
