Event,Execution Timestamp,Dissemination Time,Cleared,Collateralization,End-User Exception,Bespoke,Block/Off facility,Execution Venue,UPI,Product,Contract Type,Effective Date,Maturity Date,Upfront Payment,Upfront Payment Currency,Upfront Payment Date,Settlement Currency,Leg 1 Type,Leg 1 Fixed Rate,Leg 1 Floating Index,Leg 1 Designated Maturity,Leg 1 Spread,Leg 1 Day Count Convention,Leg 1 Notional,Leg 1 Notional Currency,Leg 1 Payment Frequency,Leg1 Reset Frequency,Leg 2 Type,Leg 2 Fixed Rate,Leg 2 Floating Index,Leg 2 Designated Maturity,Leg 2 Spread,Leg 2 Day Count Convention,Leg 2 Notional,Leg 2 Notional Currency,Leg 2 Payment Frequency,Leg 2 Reset Frequency,Embedded Option,Option Strike Price,Option Type,Option Family,Option Currency,Option Premium,Option Lockout Period,Option Expiration Date,Asset Class,Rpt ID,Prev Rpt ID,Future Value Notional,Contract Subtype
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,1.58,USD.USD-LIBOR-BBA.3.,nan,0.00016214998,ACT/365.FIXED,657000000.0,CAD,3M,3M,FLOAT,1.01126496e-07,BRL-CDI,nan,1.6306436e-07,ACT/365,656984960.0,HKD,ZC,3M,nan,,nan,nan,,,nan,nan,nan,nan,nan,1.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,3.576361,nan,nan,0.9636158,ACT/360,164607600.0,NOK,6M,QTR,Float,0.99984753,USD.USD-LIBOR-BBA.6M.USD-LIBOR-BBA,nan,0.9997039,ACT/360,656314900.0,CZK,SA,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.031494588,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5763857,CAD.CORRA.1T.OIS-COMPOUND,nan,0.99663013,ACT/360,140000050.0,NZD,6M,nan,Fixed,0.9972392,EUR.EUR-EONIA-OIS-COMPOUND..EUR-EONIA-OIS-COMPOUND,nan,0.9950481,ACT/365.FIXED,140003090.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,6.0383223e-05,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,3.5763412,EUR.EUR-EURIBOR-Reuters.6.,nan,0.9881208,ACT/360,143603980.0,NOK,ZC,MTH,Float,0.99994576,USD.USD-LIBOR-BBA.3.,nan,0.9998414,ACT/360,650499200.0,CNY,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.0065331617,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.576389,MXN.TIIE.28D.Banxico,nan,0.9985552,ACT/360,140000320.0,EUR,6M,nan,Fixed,0.9991508,EUR.EUR-EURIBOR-Reuters.6M.EUR-EURIBOR-Reuters,nan,0.99942565,ACT/360,140102700.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,4.8334863e-05,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5762448,nan,nan,0.99214303,ACT/360,140062910.0,NOK,6M,nan,Float,0.99983895,EUR.EUR-EURIBOR-Reuters.6M.EUR-EURIBOR-Reuters,nan,0.99959856,ACT/360,177855870.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.00041391028,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.575009,nan,nan,0.98130643,ACT/360,140057220.0,NOK,MTH,nan,Float,0.99125016,PLN-WIBOR,nan,0.9986862,ACT/360,174550370.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.0004485392,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5682535,nan,nan,0.9841657,ACT/360,140955730.0,NOK,MTH,nan,Float,0.99860483,USD.USA-CPI-U.20Y.USA-CPI-U,nan,0.9991094,ACT/360,220130100.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.003156082,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,3.5763545,nan,nan,0.910191,ACT/360,233489140.0,NOK,6Y,MTH,Float,0.99940777,GBP.GBP-SONIA-COMPOUND.1T.GBP-SONIA-COMPOUND,nan,0.9997996,ACT/360,656831740.0,EUR,6Y,6M,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.05259286,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,FLOAT,1.58,EUR.EURIBOR.6M.Reuters,nan,1.1605184e-11,365/360,657000000.0,BRL,3M,3M,FLOAT,1.7659153e-21,AUD-AONIA-OIS Compound,nan,2.2207906e-22,ACT/365,656999200.0,CAD,6M,3M,nan,,nan,nan,,,nan,nan,nan,nan,nan,1.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5764587,USD.USD-SOFR-COMPOUND..,nan,0.9980065,ACT/360,140000030.0,NZD,6M,nan,Fixed,0.99791497,EUR.EUR-EONIA-OIS-COMPOUND..EUR-EONIA-OIS-COMPOUND,nan,0.9963506,ACT/365.FIXED,140000720.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,1.0582434e-05,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5762646,USD.USD-SOFR-COMPOUND..,nan,0.9984138,ACT/360,140000000.0,HKD,6M,nan,Fixed,0.9951697,EUR.EUR-EONIA-OIS-COMPOUND..EUR-EONIA-OIS-COMPOUND,nan,0.99386394,ACT/365.FIXED,140000020.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,1.5004831e-05,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5763192,CAD.CORRA.1T.OIS-COMPOUND,nan,0.99679583,ACT/360,140000060.0,NZD,6M,nan,Fixed,0.9980359,GBP.GBP-SONIA-COMPOUND.1Y.GBP-SONIA-COMPOUND,nan,0.9985397,ACT/360,140007630.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,2.6894459e-05,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,3.5764263,nan,nan,0.88605815,ACT/365,287380030.0,NOK,6Y,MTH,Float,0.9998419,USD-LIBOR,nan,0.99935436,ACT/360,656818750.0,CZK,6Y,6,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.11008884,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5718584,MXN.TIIE.28D.Banxico,nan,0.99648726,ACT/360,140000100.0,HKD,6M,nan,Fixed,0.99366325,EUR.EUR-EONIA-OIS-COMPOUND..EUR-EONIA-OIS-COMPOUND,nan,0.9982176,ACT/360,140003220.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,6.2774576e-05,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,1.6070018,USD.LIBOR.3M.BBA,nan,0.14373368,ACT/365,656984060.0,PLN,6Y,MTH,FLOAT,0.046687454,CAD.CAD-BA-CDOR.3M.CAD-BA-CDOR,nan,0.6502942,ACT/365,656923900.0,NOK,6Y,6,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.99660194,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5747888,USD.USD-SOFR-COMPOUND..,nan,0.99889386,ACT/360,140000000.0,CLP,6M,nan,Fixed,0.9872956,CZK.PRIBOR.3M.PRBO,nan,0.9910418,ACT/365.FIXED,140000000.0,CHF,3M,6MTH,nan,,nan,nan,,,nan,nan,nan,nan,nan,3.5528592e-06,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,3.5756474,nan,nan,0.9384066,ACT/365,427313800.0,NOK,6Y,MTH,Float,0.9995785,NOK-NIBOR,nan,0.9996846,ACT/365,656853900.0,NOK,6Y,6,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.1675736,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5761132,USD.USD-SOFR-COMPOUND..,nan,0.9995418,ACT/360,140000000.0,HKD,6M,nan,Fixed,0.99674195,EUR.EUR-EONIA-OIS-COMPOUND..EUR-EONIA-OIS-COMPOUND,nan,0.99503994,ACT/365.FIXED,140000000.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,8.756611e-06,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5761254,USD.USD-SOFR-COMPOUND..,nan,0.99979675,30/360,140000000.0,CLP,6M,nan,Fixed,0.96987206,CZK.PRIBOR.3M.PRBO,nan,0.9838058,ACT/360,140000000.0,CHF,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,5.067494e-07,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5763803,nan,nan,0.99757516,ACT/360,140008200.0,NOK,MTH,nan,Fixed,0.99950945,USD.USA-CPI-U.20Y.USA-CPI-U,nan,0.9988001,ACT/360,143627170.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.00021227483,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5764747,nan,nan,0.9943887,ACT/360,140005780.0,NOK,6M,nan,Float,0.9969838,EUR.EUR-EURIBOR-Reuters.6M.EUR-EURIBOR-Reuters,nan,0.99934214,ACT/360,151154140.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.00019419393,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5764406,CAD.CORRA.1T.OIS-COMPOUND,nan,0.9986834,ACT/360,140000030.0,NZD,6M,nan,Fixed,0.9977654,EUR.EUR-EONIA-OIS-COMPOUND..EUR-EONIA-OIS-COMPOUND,nan,0.99737376,ACT/360,140001340.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,4.0721716e-05,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.576437,EUR.EUR-EURIBOR-Reuters.6.,nan,0.99536645,ACT/360,140001620.0,NOK,6M,nan,Fixed,0.999702,EUR.EUR-EURIBOR-Reuters.6M.EUR-EURIBOR-Reuters,nan,0.9988904,ACT/360,140240480.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,4.274119e-05,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5763874,nan,nan,0.9881287,ACT/360,140057660.0,NOK,6M,nan,Float,0.99908465,EUR.EUR-EURIBOR-Reuters.6M.EUR-EURIBOR-Reuters,nan,0.99910414,ACT/360,162120500.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.00022130726,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5764525,CAD.CORRA.1T.OIS-COMPOUND,nan,0.9986243,ACT/360,140000080.0,NZD,6M,nan,Fixed,0.9963324,EUR.EUR-EONIA-OIS-COMPOUND..EUR-EONIA-OIS-COMPOUND,nan,0.99788576,ACT/360,140004220.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,2.7408498e-05,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5764487,USD.USD-SOFR-COMPOUND..,nan,0.99858373,ACT/360,140000000.0,NZD,6M,nan,Fixed,0.99788636,EUR.EUR-EONIA-OIS-COMPOUND..EUR-EONIA-OIS-COMPOUND,nan,0.9956646,ACT/365.FIXED,140000050.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,5.328024e-06,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5763824,USD.USD-SOFR-COMPOUND..,nan,0.99972546,ACT/360,140000000.0,NZD,6M,nan,Fixed,0.99710023,CZK.PRIBOR.3M.PRBO,nan,0.9961269,ACT/360,140000000.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,1.4321953e-06,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,3.5761664,nan,nan,0.99025685,ACT/365,279468900.0,NOK,6Y,MTH,Float,0.9997071,JPY.LIBOR.6M.BBA,nan,0.9995972,ACT/365,653738050.0,CZK,6Y,6,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.027133215,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,3.5755663,nan,nan,0.9573539,ACT/360,144627120.0,NOK,MTH,nan,Float,0.99969363,MXN.TIIE.28D.Banxico,nan,0.9993492,ACT/360,626185540.0,MXN,3M,6M,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.0082841525,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5761874,nan,nan,0.98853093,ACT/360,140225620.0,NOK,MTH,nan,Float,0.9992676,EUR.EUR-EURIBOR-Reuters.6M.EUR-EURIBOR-Reuters,nan,0.9995575,ACT/360,332075970.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.0006403084,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,2.3304636,USD.LIBOR.3M.BBA,nan,0.31063023,ACT/365,656864830.0,PLN,6Y,MTH,FLOAT,0.4398009,CAD.CAD-BA-CDOR.3M.CAD-BA-CDOR,nan,0.9241254,ACT/365,656817800.0,NOK,6Y,6,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.9692337,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5747173,nan,nan,0.98582125,ACT/360,140172340.0,NOK,MTH,nan,Float,0.99887353,PLN-WIBOR,nan,0.9990588,ACT/360,202785140.0,SEK,3M,6M,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.0006973792,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5747616,USD.USD-SOFR-COMPOUND..,nan,0.99941003,ACT/360,140000000.0,HKD,6M,nan,Fixed,0.9963861,EUR.EUR-EONIA-OIS-COMPOUND..EUR-EONIA-OIS-COMPOUND,nan,0.99743426,ACT/360,140000000.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,1.3053691e-05,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5763397,USD.USD-SOFR-COMPOUND..,nan,0.99935645,ACT/360,140000000.0,NZD,6M,nan,Fixed,0.99791694,EUR.EUR-EONIA-OIS-COMPOUND..EUR-EONIA-OIS-COMPOUND,nan,0.99735415,ACT/365.FIXED,140000510.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,2.8371243e-05,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.574597,USD.USD-SOFR-COMPOUND..,nan,0.9986751,ACT/360,140000020.0,HKD,6M,nan,Fixed,0.99836427,EUR.EUR-EONIA-OIS-COMPOUND..EUR-EONIA-OIS-COMPOUND,nan,0.99636286,ACT/365.FIXED,140000220.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,2.4996916e-05,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5763233,nan,nan,0.9689729,ACT/360,141681660.0,NOK,MTH,nan,Float,0.99943435,MXN.TIIE.28D.Banxico,nan,0.9995154,ACT/360,644656500.0,MXN,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.0014575254,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,FLOAT,1.58,EUR.EURIBOR.6M.Reuters,nan,4.2456784e-07,ACT/365.FIXED,657000000.0,CAD,3M,3M,FLOAT,1.2205554e-12,AUD-AONIA-OIS-COMPOUND,nan,5.164152e-11,ACT/365,656982900.0,HKD,QTR,3M,nan,,nan,nan,,,nan,nan,nan,nan,nan,1.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5760684,nan,nan,0.97881764,ACT/360,140854350.0,NOK,MTH,nan,Float,0.99922764,EUR.EUR-EURIBOR-Reuters.6M.EUR-EURIBOR-Reuters,nan,0.99968725,ACT/360,305784640.0,SEK,3M,6M,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.0013191734,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,1.5816448,USD.LIBOR.3M.BBA,nan,0.010166605,ACT/365,656999940.0,THB,6Y,3M,FLOAT,0.017210383,NOK.NOK-NIBOR-NIBR.3M.NOK-NIBOR-NIBR,nan,0.020936538,ACT/365,656928800.0,NOK,6Y,6,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.99992806,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,1.5812173,USD.LIBOR.3M.BBA,nan,0.02208164,ACT/365,656997100.0,PLN,6Y,MTH,FLOAT,0.0012676029,CAD.CAD-BA-CDOR.3M.CAD-BA-CDOR,nan,0.018164914,ACT/365,656968100.0,NOK,6Y,6,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.9997522,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,3.576058,nan,nan,0.97704184,ACT/360,147016270.0,NOK,MTH,nan,Float,0.9991969,COP-IBR-OIS Compound,nan,0.9996518,ACT/360,647789400.0,MXN,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.004727034,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,1.5800037,USD.USD-LIBOR-BBA.3.,nan,0.0002975894,ACT/365,657000000.0,CAD,6Y,3M,FLOAT,3.928105e-06,SGD-SORA-OIS Compound,nan,0.00027525236,ACT/365,656998300.0,HKD,ZC,MTH,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.9999992,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,1.580009,USD.LIBOR.3M.BBA,nan,0.0077581685,ACT/365,656999700.0,CAD,6Y,3M,FLOAT,0.00080589665,CAD.CAD-BA-CDOR.3M.CAD-BA-CDOR,nan,0.010792867,ACT/365,656982900.0,GBP,QTR,MTH,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.99942255,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,3.574795,USD.LIBOR.3M.BBA,nan,0.813183,ACT/365,629928700.0,ZAR,6Y,MTH,FLOAT,0.998518,USD.USA-CPI-U.3Y.USA-CPI-U,nan,0.99847263,ACT/365,656934460.0,NOK,6Y,6,nan,,nan,nan,,,nan,nan,nan,nan,nan,0.8849217,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5757353,USD.USD-SOFR-COMPOUND..,nan,0.9988445,ACT/360,140000000.0,HKD,6M,nan,Fixed,0.9963257,EUR.EUR-EONIA-OIS-COMPOUND..EUR-EONIA-OIS-COMPOUND,nan,0.9965692,ACT/365.FIXED,140000000.0,SEK,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,7.658894e-06,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Fixed,1.58,USD.USD-LIBOR-BBA.3.,nan,0.00030767737,ACT/365.FIXED,657000000.0,CAD,6Y,3M,FLOAT,4.758105e-07,BRL-CDI,nan,3.4312793e-06,ACT/365,656995700.0,HKD,ZC,MTH,nan,,nan,nan,,,nan,nan,nan,nan,nan,1.0,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.5751688,USD.USD-SOFR-COMPOUND..,nan,0.99898946,ACT/360,140000000.0,NZD,6M,nan,Fixed,0.9915278,EUR.EUR-EONIA-OIS-COMPOUND..EUR-EONIA-OIS-COMPOUND,nan,0.99474096,ACT/365.FIXED,140000000.0,CHF,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,6.9304197e-06,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.576436,USD.USD-SOFR-COMPOUND..,nan,0.9996197,ACT/360,140000000.0,NZD,6M,nan,Fixed,0.9966395,EUR.EUR-EONIA-OIS-COMPOUND..EUR-EONIA-OIS-COMPOUND,nan,0.9972886,ACT/365.FIXED,140000020.0,CHF,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,4.8767083e-06,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,Float,3.576327,USD.USD-SOFR-COMPOUND..,nan,0.9994415,ACT/360,140000000.0,CLP,6M,nan,Fixed,0.9971151,DKK.DKK-CIBOR2-DKNA13.6M.DKK-CIBOR2-DKNA13,nan,0.9950319,ACT/365.FIXED,140000000.0,CHF,3M,nan,nan,,nan,nan,,,nan,nan,nan,nan,nan,2.3448038e-06,nan
