Leg 1 Type,Leg 1 Fixed Rate,Leg 1 Floating Index,Leg 1 Spread,Leg 1 Day Count Convention,Leg 1 Notional,Leg 1 Notional Currency,Leg 1 Payment Frequency,Leg1 Reset Frequency,Leg 2 Type,Leg 2 Fixed Rate,Leg 2 Floating Index,Leg 2 Spread,Leg 2 Day Count Convention,Leg 2 Notional,Leg 2 Notional Currency,Leg 2 Payment Frequency,Leg 2 Reset Frequency,Future Value Notional
Fixed,3.009157,nan,0.24014108,BUS/252,610165570.0,PLN,MTH,MTH,Float,0.6462602,CZK.CZK-PRIBOR-PRBO.3M.CZK-PRIBOR-PRBO,0.19779165,ACT/360,159382830.0,NZD,MTH,3M,0.25814888
Fixed,1.724913,nan,0.78321445,365/360,596939400.0,SGD,MTH,MTH,Float,0.9394432,HUF-BUBOR,0.7681427,ACT/360,178327250.0,NZD,MTH,3M,0.48861298
Fixed,1.6251073,USD.USD-Federal Funds-H.15-OIS-COMPOUND..,0.07574309,ACT/365.FIXED,472440670.0,CNY,MTH,MTH,Float,0.8636627,CNY-Fixing Repo Rate,0.9051452,ACT/360,149894910.0,USD,MTH,6M,0.4707618
Fixed,2.6423028,nan,0.58289087,ACT/360,607897400.0,CAD,MTH,MTH,Float,0.7143716,USD.USA-CPI-U.10Y.USA-CPI-U,0.13305667,ACT/365.FIXED,177962660.0,NZD,MTH,3M,0.45073473
Fixed,1.6225392,nan,0.958043,ACT/360,514714000.0,ZAR,MTH,MTH,Float,0.3008251,CZK.PRIBOR.3M.PRBO,0.30099186,ACT/360,218216260.0,CAD,MTH,MTH,0.075792804
Fixed,3.5019674,nan,0.86768746,30/360,628431100.0,CAD,MTH,MTH,Float,0.9599289,EUR.EUR-EURIBOR-Reuters.1Y.EUR-EURIBOR-Reuters,0.011375385,ACT/365.FIXED,224649400.0,NZD,MTH,MTH,0.0040205126
Fixed,1.7847986,nan,0.10727813,365/360,632982500.0,COP,MTH,6,Float,0.5110057,CZK.PRIBOR.3M.PRBO,0.62746894,ACT/360,244421020.0,NZD,MTH,3M,0.10011593
Fixed,2.1093068,nan,0.22172183,365/360,637067900.0,DKK,MTH,6,Float,0.6779877,CZK.PRIBOR.3M.PRBO,0.15110685,ACT/360,169929330.0,NZD,MTH,3M,0.15241238
Fixed,2.2026849,nan,0.7082259,30/360,651998200.0,DKK,MTH,MTH,Float,0.6846644,EUR.EUR-EXT-CPI.10Y.EUR-EXT-CPI,0.04340916,ACT/365.FIXED,179696740.0,NZD,3M,MTH,0.016934913
Fixed,1.6030242,nan,0.58523566,365/360,589979400.0,DKK,MTH,MTH,Float,0.5232706,CZK.PRIBOR.3M.PRBO,0.7491971,ACT/360,168039630.0,NZD,MTH,3M,0.007840421
Fixed,1.8848269,nan,0.770686,365/360,554782460.0,SGD,MTH,6,Float,0.59531677,USD.USA-CPI-U.7Y.USA-CPI-U,0.6351757,ACT/360,194458770.0,USD,MTH,3M,0.3846527
Fixed,1.7975088,nan,0.32856926,ACT/360,500180400.0,CNY,MTH,MTH,Float,0.8483939,USD.USD-Federal Funds-H.15-OIS-COMPOUND..USD-Federal Funds-H.15-OIS-COMPOUND,0.34583113,ACT/360,229404540.0,NZD,MTH,MTH,0.58966917
Fixed,1.8200508,nan,0.99035394,ACT/365.FIXED,610558300.0,DKK,6M,6M,Float,0.8275679,GBP.UK-RPI.15Y.UK-RPI,0.09760261,ACT/365.FIXED,177442080.0,NZD,6WK,MTH,0.047865063
Fixed,1.6633002,nan,0.14719906,365/360,537945400.0,SEK,MTH,6,Float,0.9023364,COP-IBR-OIS-COMPOUND,0.94141316,ACT/360,181269630.0,USD,MTH,QTR,0.90936357
Fixed,1.7652875,nan,0.7350631,ACT/365.FIXED,565364200.0,CAD,MTH,MTH,Float,0.9078615,CZK.CZK-PRIBOR-PRBO.6M.CZK-PRIBOR-PRBO,0.73784155,ACT/360,164238750.0,DKK,3M,6M,0.33679956
Fixed,1.6501553,nan,0.80135286,ACT/365.FIXED,610396400.0,DKK,MTH,MTH,Float,0.46521372,CZK.PRIBOR.3M.PRBO,0.8662055,ACT/365.FIXED,171707020.0,USD,MTH,MTH,0.014118073
Fixed,1.6296657,nan,0.32155564,ACT/365.FIXED,601966500.0,CNY,QTR,6,Float,0.915061,CNY-Fixing Repo Rate,0.56172824,ACT/360,154229340.0,NZD,MTH,6M,0.038241
Fixed,1.6840163,nan,0.3835171,BUS/252,606196740.0,NOK,MTH,MTH,Float,0.7459627,HUF-BUBOR,0.6237132,ACT/360,202207230.0,NZD,MTH,3M,0.1704374
Fixed,2.1171193,nan,0.6212833,30/360,516829470.0,EUR,MTH,MTH,Float,0.39844137,CZK.PRIBOR.3M.PRBO,0.48375952,ACT/365.FIXED,188594560.0,CAD,MTH,MTH,0.04534621
Fixed,2.1483393,nan,0.8850788,ACT/365.FIXED,618189600.0,CAD,MTH,MTH,Float,0.5052757,AUD.AONIA.1T.OIS-COMPOUND,0.06045994,ACT/365.FIXED,187424860.0,NZD,MTH,MTH,0.040903267
Fixed,1.7608293,USD-LIBOR,0.526129,ACT/360,557478660.0,USD,MTH,6,Float,0.7371451,USD.USD-SOFR-COMPOUND..,0.9155404,ACT/360,186930600.0,USD,MTH,6MTH,0.4161863
Fixed,1.7837039,nan,0.44333044,ACT/365.FIXED,556280600.0,NOK,MTH,MTH,Float,0.83520776,USD-LIBOR,0.5866644,ACT/360,165077150.0,NZD,MTH,MTH,0.022883715
Fixed,2.0873737,nan,0.5098171,365/360,590181400.0,SGD,MTH,MTH,Float,0.5583128,CNY-CNREPOFIX=CFXS-Reuters,0.43486434,ACT/360,157279440.0,NZD,MTH,6MTH,0.43439463
Fixed,2.0306773,nan,0.68834716,BUS/252,582375300.0,NOK,MTH,MTH,Float,0.863636,KRW-CD-KSDA-Bloomberg,0.2741352,ACT/360,173563330.0,NZD,MTH,MTH,0.10099412
Fixed,1.867041,nan,0.81380045,365/360,617132500.0,USD,MTH,6,Float,0.46510983,EUR.EUR-EXT-CPI.2Y.EUR-EXT-CPI,0.7345178,ACT/360,215594620.0,NZD,MTH,3M,0.22923769
Fixed,2.1525838,nan,0.37742034,30/360,642674940.0,PLN,MTH,6,Float,0.8029159,GBP.UK-RPI.7Y.UK-RPI,0.14809608,ACT/365.FIXED,210355870.0,NZD,MTH,3M,0.0364956
Fixed,2.0868416,USD-LIBOR,0.61648285,BUS/252,625569400.0,SEK,MTH,6,Float,0.9610297,USD.USD-Federal Funds-H.15-OIS-COMPOUND..USD-Federal Funds-H.15-OIS-COMPOUND,0.7477599,ACT/360,324604060.0,USD,MTH,6M,0.7391312
Fixed,1.7189237,nan,0.053624865,BUS/252,634113150.0,BRL,MTH,6,Float,0.6859114,GBP.UK-RPI.7Y.UK-RPI,0.18577363,ACT/360,151383460.0,NZD,MTH,3M,0.02532591
Fixed,1.7751526,nan,0.44782263,365/360,600812860.0,CNY,MTH,MTH,Float,0.96835905,HUF-BUBOR,0.7098269,ACT/360,252604830.0,NZD,MTH,3M,0.15588076
Fixed,2.0701702,nan,0.98727244,ACT/360,618705400.0,CAD,6M,MTH,Float,0.9169517,NOK.NOK-NIBOR-OIBOR.3M.NOK-NIBOR-OIBOR,0.05471508,ACT/365.FIXED,169191260.0,MXN,6Y,MTH,0.017611656
Fixed,3.3578258,nan,0.91791403,ACT/365.FIXED,608622100.0,PLN,MTH,MTH,Float,0.9549406,CNY-CNREPOFIX=CFXS-Reuters,0.24335663,ACT/360,212117800.0,NZD,MTH,3M,0.74864954
Fixed,1.76526,nan,0.28103304,BUS/252,609957500.0,DKK,MTH,MTH,Float,0.93255997,CZK.CZK-PRIBOR-PRBO.3M.CZK-PRIBOR-PRBO,0.38720238,ACT/360,193706620.0,NZD,MTH,MTH,0.14442344
Fixed,1.9313881,nan,0.8508765,365/360,625094900.0,SEK,MTH,MTH,Float,0.9671029,USD.USA-CPI-U.7Y.USA-CPI-U,0.31519005,ACT/360,220996800.0,NZD,MTH,MTH,0.036534034
Fixed,1.684299,nan,0.91470486,ACT/365.FIXED,594134300.0,COP,MTH,MTH,Float,0.56822157,USD-LIBOR,0.24514031,ACT/360,161159520.0,NZD,MTH,MTH,0.028367104
Fixed,1.8501513,nan,0.35925147,ACT/365.FIXED,626097200.0,DKK,MTH,MTH,Float,0.26274806,GBP.UK-RPI.7Y.UK-RPI,0.36251104,ACT/360,151349500.0,USD,MTH,MTH,0.088589326
Fixed,1.6720439,nan,0.7479274,365/360,627013250.0,NOK,MTH,MTH,Float,0.71261656,USD.USD-SOFR-COMPOUND..,0.5768986,ACT/360,276541120.0,NZD,MTH,MTH,0.13822213
Fixed,1.9540644,nan,0.70474356,ACT/365.FIXED,646294800.0,COP,MTH,MTH,Float,0.24955167,USD-LIBOR,0.034723885,ACT/360,156160160.0,NZD,MTH,MTH,0.0057754773
Fixed,1.8749663,nan,0.59538805,ACT/360,620828300.0,PLN,MTH,6,Float,0.7776931,CNY-CNREPOFIX=CFXS-Reuters,0.37198287,ACT/360,181838140.0,NZD,MTH,MTH,0.39745516
Fixed,1.6420496,nan,0.36367238,365/360,630762800.0,SGD,MTH,6,Float,0.9979035,EUR.EURIBOR.6M.Reuters,0.94748193,ACT/360,176911680.0,NZD,MTH,3M,0.24598712
Fixed,2.721909,nan,0.7766634,30/360,605662300.0,PLN,MTH,MTH,Float,0.43592048,CZK.CZK-PRIBOR-PRBO.3M.CZK-PRIBOR-PRBO,0.68781704,ACT/365.FIXED,148820690.0,NZD,MTH,3M,0.29026708
Fixed,1.9481056,nan,0.93552494,30/360,655908350.0,CAD,MTH,MTH,Float,0.8779768,USD-LIBOR,0.025407523,ACT/365.FIXED,161869540.0,NZD,MTH,MTH,0.0041478253
Fixed,2.5659242,nan,0.9513527,ACT/365.FIXED,581252600.0,NOK,MTH,MTH,Float,0.90306216,USD.USD-Federal Funds-H.15-OIS-COMPOUND..USD-Federal Funds-H.15-OIS-COMPOUND,0.25193763,ACT/365.FIXED,242577490.0,NZD,MTH,MTH,0.34374672
Fixed,2.7638862,nan,0.81639546,ACT/365.FIXED,588334700.0,SGD,MTH,MTH,Float,0.42725012,HUF-BUBOR,0.24881954,ACT/365.FIXED,182091140.0,NZD,MTH,3M,0.733257
Fixed,1.7224771,nan,0.9412641,ACT/360,554466940.0,CNY,6M,MTH,Float,0.90135014,EUR.EUR-EXT-CPI.10Y.EUR-EXT-CPI,0.87323546,ACT/360,188977180.0,USD,MTH,3M,0.10502815
Fixed,2.074088,nan,0.68482953,ACT/365.FIXED,629879040.0,PLN,MTH,6M,Float,0.96609837,CNY-Fixing Repo Rate,0.80951583,ACT/365.FIXED,171723900.0,HKD,MTH,6MTH,0.41299415
Fixed,1.6045853,nan,0.33389214,365/360,608311940.0,DKK,MTH,MTH,Float,0.8801359,USD-SOFR-COMPOUND,0.71217215,ACT/360,185064880.0,ILS,MTH,MTH,0.027873656
Fixed,2.0600882,USD-LIBOR,0.60881567,ACT/365.FIXED,590507260.0,NOK,MTH,MTH,Float,0.6421439,CHF-SARON-OIS Compound,0.8169694,ACT/360,260049760.0,NZD,MTH,6M,0.24558626
Fixed,1.6203527,nan,0.037307702,BUS/252,634017000.0,SEK,MTH,6,Float,0.9592798,CNY-Fixing Repo Rate,0.9883071,ACT/360,154406820.0,HKD,3M,3M,0.12632376
Fixed,1.6708374,nan,0.44525626,BUS/252,647248960.0,NOK,MTH,MTH,Float,0.7673081,CZK.CZK-PRIBOR-PRBO.3M.CZK-PRIBOR-PRBO,0.11006973,ACT/360,287548670.0,NZD,MTH,MTH,0.27079168
Fixed,2.983131,nan,0.8428926,30/360,652834400.0,DKK,MTH,MTH,Float,0.847385,AUD-AONIA-OIS Compound,0.7488043,ACT/360,160066560.0,NZD,MTH,MTH,0.037607696
Fixed,2.9252312,nan,0.2654771,ACT/365.FIXED,619978600.0,DKK,6Y,MTH,Float,0.8552825,CZK.CZK-PRIBOR-PRBO.3M.CZK-PRIBOR-PRBO,0.49348816,ACT/365.FIXED,150522600.0,INR,MTH,MTH,0.34805006
Fixed,1.6132612,USD-LIBOR,0.062728606,ACT/360,651139460.0,COP,MTH,nan,Float,0.26000458,DKK.DKK-CIBOR2-DKNA13.6M.DKK-CIBOR2-DKNA13,0.9342372,ACT/360,213816850.0,NZD,SA,MTH,0.0028155607
Fixed,2.1167727,nan,0.7165841,ACT/365.FIXED,640798700.0,COP,MTH,nan,Float,0.15392178,EUR-EXT-CPI,0.064485826,ACT/365.FIXED,184501980.0,CAD,MTH,MTH,0.00799747
Fixed,3.1881022,nan,0.99236697,30/360,594526140.0,CAD,6M,MTH,Float,0.5373398,EUR-EXT-CPI,0.07117865,ACT/365.FIXED,209563840.0,CAD,SA,MTH,0.009258705
Fixed,3.531055,nan,0.7852611,ACT/365.FIXED,534266020.0,CAD,MTH,MTH,Float,0.9589887,CNY-CNREPOFIX=CFXS-Reuters,0.122446775,ACT/365.FIXED,175985730.0,NZD,MTH,3M,0.54138124
Fixed,3.2538037,nan,0.88978964,365/360,544731500.0,THB,6Y,MTH,Float,0.9819997,USD.USD-Federal Funds-H.15-OIS-COMPOUND..USD-Federal Funds-H.15-OIS-COMPOUND,0.52342296,ACT/360,273259330.0,ILS,MTH,MTH,0.94240934
Fixed,2.2146988,nan,0.7147949,ACT/365.FIXED,610359200.0,NOK,MTH,MTH,Float,0.96247387,CNY-CNREPOFIX=CFXS-Reuters,0.48710737,ACT/365.FIXED,158155730.0,NZD,MTH,MTH,0.44705322
Fixed,2.2905128,nan,0.37550837,ACT/365.FIXED,638497150.0,CNY,MTH,6,Float,0.9692807,GBP-LIBOR-BBA,0.86680174,ACT/365.FIXED,316814800.0,HKD,MTH,3M,0.07233865
Fixed,2.6353762,nan,0.8809057,365/360,596172800.0,CNY,6Y,MTH,Float,0.99229324,CNY-CNREPOFIX=CFXS-Reuters,0.69433624,ACT/360,188667820.0,NZD,6Y,MTH,0.29036322
Fixed,2.649724,nan,0.29187366,365/360,503083230.0,NOK,MTH,MTH,Float,0.72686267,CZK-PRIBOR,0.7519062,ACT/360,190261970.0,CAD,MTH,3M,0.23441432
Fixed,2.244832,nan,0.23516554,365/360,552092900.0,BRL,MTH,MTH,Float,0.39256853,GBP.UK-RPI.40Y.UK-RPI,0.31287342,ACT/360,329048700.0,NZD,MTH,3M,0.024331493
Fixed,1.8174434,nan,0.330445,ACT/365.FIXED,552966200.0,NOK,MTH,MTH,Float,0.9724839,USD.USD-SOFR-COMPOUND..,0.9693112,ACT/360,170354100.0,NZD,MTH,6M,0.41628674
Fixed,2.0613377,nan,0.83763075,365/360,622816700.0,NOK,MTH,MTH,Float,0.96534026,PLN-WIBOR,0.38001046,ACT/360,167390780.0,NZD,MTH,3M,0.1703677
Fixed,1.952439,nan,0.6541341,ACT/365.FIXED,598395840.0,DKK,MTH,MTH,Float,0.82029575,CZK.CZK-PRIBOR-PRBO.3M.CZK-PRIBOR-PRBO,0.45887017,ACT/360,159920060.0,NZD,MTH,MTH,0.11194427
Fixed,2.2238305,nan,0.38467726,365/360,515088350.0,THB,MTH,MTH,Float,0.9597885,USD-LIBOR-BBA,0.8573818,ACT/360,180540530.0,ILS,MTH,6MTH,0.48116302
Fixed,2.176521,nan,0.4727502,365/360,571378050.0,CAD,MTH,MTH,Float,0.47322792,USD-LIBOR,0.43259147,ACT/360,158854380.0,NZD,MTH,3M,0.0066001937
Fixed,1.6313154,nan,0.21341898,ACT/365.FIXED,580915600.0,SEK,MTH,6,Float,0.44199803,CZK.PRIBOR.3M.PRBO,0.7739115,ACT/360,159579900.0,USD,MTH,3M,0.01596698
Fixed,2.3081675,nan,0.95529985,30/360,631845900.0,DKK,6M,MTH,Float,0.63818043,USD-LIBOR,0.033654053,ACT/365.FIXED,176365980.0,NZD,MTH,MTH,0.0007797067
Fixed,1.7532134,nan,0.77774954,ACT/365.FIXED,564017660.0,CAD,MTH,MTH,Float,0.5553245,USD-LIBOR,0.26566294,ACT/365.FIXED,161556540.0,ILS,MTH,MTH,0.006697205
Fixed,2.7583344,nan,0.8868913,30/360,630997250.0,CAD,6M,MTH,Float,0.34838086,EUR-EXT-CPI,0.031056551,ACT/365.FIXED,160470460.0,NZD,MTH,MTH,0.0147059895
Fixed,2.3592093,nan,0.77919745,30/360,637237600.0,DKK,6M,MTH,Float,0.5136875,EUR-EXT-CPI,0.12775481,ACT/365.FIXED,168334780.0,CAD,SA,MTH,0.0924415
Fixed,2.037958,nan,0.27912858,365/360,620761300.0,SGD,MTH,6,Float,0.9667323,USD.USD-SOFR-COMPOUND..,0.90751946,ACT/360,237882740.0,NZD,MTH,6M,0.45875815
Fixed,1.64038,nan,0.27640158,BUS/252,530912540.0,SGD,MTH,MTH,Float,0.9410048,CNY-Fixing Repo Rate,0.96266526,ACT/360,167607170.0,USD,MTH,3M,0.46139178
Fixed,1.5935581,nan,0.03561727,ACT/360,583629800.0,DKK,MTH,6,Float,0.6536136,USD.USD-SOFR-COMPOUND..,0.9765993,ACT/360,163689600.0,USD,MTH,3M,0.09648505
